q,n,deviator,deviator_net_eth,deviator_ci,honest_net_eth,honest_ci
0.51,15,honest,0.004685231435231439,0.01291069183870377,-0.0003346593882308153,0.0009221922741931263
0.51,15,invert,-0.0146038961038961,0.013188796155884464,0.00104313543599258,0.0009420568682774619
0.51,15,always_buyer,-0.012153429903429902,0.013227503802243638,0.0008681021359592802,0.0009448217001602597
0.51,15,always_seller,0.0022347652347652386,0.01287513737355972,-0.00015962608819751522,0.00091965266953998
0.51,15,abstain,0.0,0.0,4.791141028888324e-19,2.3783118224626123e-19
0.6,15,honest,-0.0061743256743256696,0.015181071329231022,0.0004410232624518359,0.0010843622378022158
0.6,15,invert,-0.08794721944721945,0.016264049875331848,0.006281944246229962,0.0011617178482379892
0.6,15,always_buyer,-0.04794638694638694,0.015788749281956865,0.0034247419247419265,0.0011277678058540614
0.6,15,always_seller,-0.04617515817515817,0.01581076843457558,0.0032982255839398723,0.0011293406024696843
0.6,15,abstain,0.0,0.0,1.7115938296304497e-19,3.1125587148554296e-19
0.7,15,honest,-0.011491508491508486,0.017830613316173367,0.0008208220351077529,0.0012736152368695265
0.7,15,invert,-0.32904662004662005,0.02049611851646148,0.023503330003330006,0.001464008465461534
0.7,15,always_buyer,-0.16464801864801865,0.019902936921106316,0.011760572760572763,0.0014216383515075943
0.7,15,always_seller,-0.1758901098901099,0.020159380441043685,0.012563579277864993,0.0014399557457888347
0.7,15,abstain,0.0,0.0,-2.071755465595158e-18,3.997187860764287e-19
0.8,15,honest,-0.010237096237096238,0.017242732468125042,0.0007312211597925912,0.0012316237477232176
0.8,15,invert,-0.6430229770229771,0.019373934225384526,0.04593021264449836,0.0013838524446703232
0.8,15,always_buyer,-0.3210004995004995,0.02153056009197178,0.02292860710717854,0.0015378971494265559
0.8,15,always_seller,-0.3322595737595737,0.02157486284954849,0.02373282669711241,0.0015410616321106067
0.8,15,abstain,0.0,0.0,-5.4751177137020365e-18,4.018620224873569e-19
0.9,15,honest,-0.0030715950715950752,0.012542272669312295,0.00021939964797107418,0.0008958766192365923
0.9,15,invert,-0.8745124875124877,0.012575677257399442,0.06246517767946338,0.0008982626612428173
0.9,15,always_buyer,-0.43188369963369966,0.02006943399814711,0.030848835688121398,0.0014335309998676504
0.9,15,always_seller,-0.445700382950383,0.0199734413058961,0.03183574163931307,0.0014266743789925784
0.9,15,abstain,0.0,0.0,-5.323122894854544e-18,2.9280432963453944e-19
