n,colluders,collusion_ratio,flip_rate
21,0,0.0,0.0
21,2,0.09523809523809523,0.0
21,4,0.19047619047619047,0.0
21,6,0.2857142857142857,0.0005
21,8,0.38095238095238093,0.0075
21,10,0.47619047619047616,0.079
21,12,0.5714285714285714,0.3965
21,14,0.6666666666666666,1.0
21,16,0.7619047619047619,1.0
21,18,0.8571428571428571,1.0
21,20,0.9523809523809523,1.0
