majority_bps,correct_rate,void_rate
5000,0.947,0.0
5500,0.8563333333333333,0.12533333333333332
6000,0.8563333333333333,0.12533333333333332
6500,0.7213333333333334,0.275
7000,0.5123333333333333,0.48733333333333334
