model_version,majority_bps,threshold_fraction,q,n,coalition_fraction_requested,coalition_size,coalition_fraction_realized,honest_turnout,correct_rate,wrong_rate,void_rate,expected_attack_profit_eth,attack_profit_ci95_low_eth,attack_profit_ci95_high_eth,expected_failed_slashing_eth,success_benefit_if_wrong_eth,refundable_stake_principal_eth,nonref_identity_fee_eth,capital_opportunity_cost_eth,gas_cost_eth,coordination_cost_eth,reps
stake-vote-econ-v2.0.0,5000,0.5,0.8,21,0.4,8,0.38095238095238093,0.6,0.155,0.845,0.0,6.236365499036731,5.318260940723073,7.154470057350389,1.24,5.0,8.0,0.8,0.012273972602739727,0.024,0.066,200
stake-vote-econ-v2.0.0,5000,0.5,0.8,21,0.4,8,0.38095238095238093,1.0,0.485,0.515,0.0,1.069267985439217,-0.2798559454376546,2.4183919163160885,3.88,5.0,8.0,0.8,0.012273972602739727,0.024,0.066,200
stake-vote-econ-v2.0.0,6500,0.65,0.6,9,0.0,0,0.0,0.6,0.485,0.13,0.385,0.65,0.41636879983948594,0.8836312001605141,0.0,5.0,0.0,0.0,0.0,0.0,0.0,200
stake-vote-econ-v2.0.0,6500,0.65,0.6,9,0.0,0,0.0,1.0,0.485,0.11,0.405,0.55,0.33263436542204433,0.7673656345779558,0.0,5.0,0.0,0.0,0.0,0.0,0.0,200
stake-vote-econ-v2.0.0,6500,0.65,0.6,9,0.25,2,0.2222222222222222,0.6,0.07,0.455,0.475,2.1700505544683626,1.7544320582069264,2.585669050729799,0.14,5.0,2.0,0.2,0.003068493150684932,0.006,0.054000000000000006,200
stake-vote-econ-v2.0.0,6500,0.65,0.6,9,0.25,2,0.2222222222222222,1.0,0.145,0.33,0.525,1.3755029354207438,0.954423087420439,1.7965827834210484,0.29,5.0,2.0,0.2,0.003068493150684932,0.006,0.054000000000000006,200
stake-vote-econ-v2.0.0,6500,0.65,0.6,9,0.4,4,0.4444444444444444,0.6,0.0,0.715,0.285,3.9515772994129157,3.556698934776608,4.346455664049223,0.0,5.0,4.0,0.4,0.006136986301369864,0.012,0.058,200
stake-vote-econ-v2.0.0,6500,0.65,0.6,9,0.4,4,0.4444444444444444,1.0,0.0,0.645,0.355,3.7174344422700587,3.2801374936109893,4.154731390929128,0.0,5.0,4.0,0.4,0.006136986301369864,0.012,0.058,200
stake-vote-econ-v2.0.0,6500,0.65,0.6,21,0.0,0,0.0,0.6,0.35,0.045,0.605,0.225,0.08098508243097849,0.3690149175690215,0.0,5.0,0.0,0.0,0.0,0.0,0.0,200
stake-vote-econ-v2.0.0,6500,0.65,0.6,21,0.0,0,0.0,1.0,0.34,0.0,0.66,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,200
stake-vote-econ-v2.0.0,6500,0.65,0.6,21,0.25,5,0.23809523809523808,0.6,0.005,0.345,0.65,1.7873948815644025,1.321658240509611,2.2531315226191944,0.025,5.0,5.0,0.5,0.0076712328767123295,0.015,0.060000000000000005,200
stake-vote-econ-v2.0.0,6500,0.65,0.6,21,0.25,5,0.23809523809523808,1.0,0.015,0.16,0.825,0.5135787671232876,0.12642091491681917,0.9007366193297561,0.075,5.0,5.0,0.5,0.0076712328767123295,0.015,0.060000000000000005,200
stake-vote-econ-v2.0.0,6500,0.65,0.6,21,0.4,8,0.38095238095238093,0.6,0.0,0.73,0.27,4.803783518925339,4.312668701816163,5.294898336034516,0.0,5.0,8.0,0.8,0.012273972602739727,0.024,0.066,200
stake-vote-econ-v2.0.0,6500,0.65,0.6,21,0.4,8,0.38095238095238093,1.0,0.0,0.435,0.565,2.754382890142358,2.17222643714547,3.3365393431392465,0.0,5.0,8.0,0.8,0.012273972602739727,0.024,0.066,200
stake-vote-econ-v2.0.0,6500,0.65,0.8,9,0.0,0,0.0,0.6,0.795,0.03,0.175,0.15,0.03149244664999186,0.26850755335000814,0.0,5.0,0.0,0.0,0.0,0.0,0.0,200
stake-vote-econ-v2.0.0,6500,0.65,0.8,9,0.0,0,0.0,1.0,0.91,0.0,0.09,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,200
stake-vote-econ-v2.0.0,6500,0.65,0.8,9,0.25,2,0.2222222222222222,0.6,0.295,0.105,0.6,-0.25123515981735167,-0.5504172139221739,0.04794689428747051,0.59,5.0,2.0,0.2,0.003068493150684932,0.006,0.054000000000000006,200
stake-vote-econ-v2.0.0,6500,0.65,0.8,9,0.25,2,0.2222222222222222,1.0,0.565,0.02,0.415,-1.2730684931506848,-1.4675805335732426,-1.078556452728127,1.13,5.0,2.0,0.2,0.003068493150684932,0.006,0.054000000000000006,200
