model_version,case,outcome,sum_net_wei,expected_sum_net_wei,deviation_wei
stake-vote-econ-v2.0.0,115,void,0,0,0
stake-vote-econ-v2.0.0,116,correct,0,0,0
stake-vote-econ-v2.0.0,117,void,0,0,0
stake-vote-econ-v2.0.0,118,wrong,0,0,0
stake-vote-econ-v2.0.0,119,correct,0,0,0
stake-vote-econ-v2.0.0,120,correct,0,0,0
stake-vote-econ-v2.0.0,121,void,0,0,0
stake-vote-econ-v2.0.0,122,void,0,0,0
stake-vote-econ-v2.0.0,123,correct,0,0,0
stake-vote-econ-v2.0.0,124,void,0,0,0
stake-vote-econ-v2.0.0,125,wrong,0,0,0
stake-vote-econ-v2.0.0,126,correct,0,0,0
stake-vote-econ-v2.0.0,127,correct,0,0,0
stake-vote-econ-v2.0.0,128,correct,0,0,0
stake-vote-econ-v2.0.0,129,correct,-5,-5,0
stake-vote-econ-v2.0.0,130,void,0,0,0
stake-vote-econ-v2.0.0,131,wrong,0,0,0
stake-vote-econ-v2.0.0,132,correct,0,0,0
stake-vote-econ-v2.0.0,133,void,0,0,0
stake-vote-econ-v2.0.0,134,void,0,0,0
stake-vote-econ-v2.0.0,135,correct,-4,-4,0
stake-vote-econ-v2.0.0,136,void,0,0,0
stake-vote-econ-v2.0.0,137,void,0,0,0
stake-vote-econ-v2.0.0,138,void,0,0,0
stake-vote-econ-v2.0.0,139,correct,0,0,0
stake-vote-econ-v2.0.0,140,void,0,0,0
stake-vote-econ-v2.0.0,141,correct,0,0,0
stake-vote-econ-v2.0.0,142,void,0,0,0
stake-vote-econ-v2.0.0,143,void,0,0,0
stake-vote-econ-v2.0.0,144,void,0,0,0
stake-vote-econ-v2.0.0,145,correct,-1,-1,0
stake-vote-econ-v2.0.0,146,correct,0,0,0
stake-vote-econ-v2.0.0,147,wrong,-4,-4,0
stake-vote-econ-v2.0.0,148,wrong,0,0,0
stake-vote-econ-v2.0.0,149,void,0,0,0
stake-vote-econ-v2.0.0,150,void,0,0,0
stake-vote-econ-v2.0.0,151,wrong,0,0,0
stake-vote-econ-v2.0.0,152,correct,0,0,0
stake-vote-econ-v2.0.0,153,wrong,0,0,0
stake-vote-econ-v2.0.0,154,wrong,-2,-2,0
stake-vote-econ-v2.0.0,155,wrong,0,0,0
stake-vote-econ-v2.0.0,156,void,0,0,0
stake-vote-econ-v2.0.0,157,void,0,0,0
stake-vote-econ-v2.0.0,158,wrong,0,0,0
stake-vote-econ-v2.0.0,159,wrong,-1,-1,0
stake-vote-econ-v2.0.0,160,correct,0,0,0
stake-vote-econ-v2.0.0,161,void,0,0,0
stake-vote-econ-v2.0.0,162,wrong,0,0,0
stake-vote-econ-v2.0.0,163,wrong,0,0,0
stake-vote-econ-v2.0.0,164,void,0,0,0
stake-vote-econ-v2.0.0,165,void,0,0,0
stake-vote-econ-v2.0.0,166,correct,-4,-4,0
stake-vote-econ-v2.0.0,167,void,0,0,0
stake-vote-econ-v2.0.0,168,correct,0,0,0
stake-vote-econ-v2.0.0,169,wrong,0,0,0
stake-vote-econ-v2.0.0,170,wrong,0,0,0
stake-vote-econ-v2.0.0,171,correct,0,0,0
stake-vote-econ-v2.0.0,172,wrong,0,0,0
stake-vote-econ-v2.0.0,173,correct,0,0,0
stake-vote-econ-v2.0.0,174,correct,0,0,0
stake-vote-econ-v2.0.0,175,correct,0,0,0
stake-vote-econ-v2.0.0,176,correct,0,0,0
stake-vote-econ-v2.0.0,177,wrong,-4,-4,0
stake-vote-econ-v2.0.0,178,void,0,0,0
stake-vote-econ-v2.0.0,179,correct,-1,-1,0
stake-vote-econ-v2.0.0,180,correct,0,0,0
stake-vote-econ-v2.0.0,181,void,0,0,0
stake-vote-econ-v2.0.0,182,void,0,0,0
stake-vote-econ-v2.0.0,183,void,0,0,0
stake-vote-econ-v2.0.0,184,correct,0,0,0
stake-vote-econ-v2.0.0,185,void,0,0,0
